city,lng,lat
Dingzhou,114.9845,38.5158
Campinas,-47.0573,-22.9009
Lianyuan,111.6659,27.6961
Kaiyuan,113.8153,36.0656
Nay Pyi Taw,96.1583,19.8028
Dakar,-17.4572,14.7319
Zhuji,120.2314,29.7169
Zapopan,-103.4,20.7167
Leiyang,112.8457,26.4179
Dadukou,101.7149,26.5849
Quetta,67.007,30.192
Amritsar,74.85,31.6167
Callao,-77.1333,-12.0611
Alīgarh,78.08,27.88
Yingchuan,113.4733,34.1511
Tegucigalpa,-87.2067,14.0942
Ciudad Nezahualcóyotl,-99.03,19.41
Tripoli,13.1875,32.8752
Rostov,39.7167,47.2333
Nezahualcóyotl,-98.9889,19.4
Bhiwandi,73.0667,19.3
Zhoushan,122.0988,30.0162
Tbilisi,44.7925,41.7225
Ufa,55.9667,54.7333
Fès,-5.0033,34.0433
Biên Hòa,106.8426,10.9575
Mexicali,-115.4678,32.6633
Gwalior,78.1931,26.215
Ankang,109.0235,32.6877
Ikare,5.76,7.5304
Hegang,130.2775,47.3139
Salt Lake City,-111.9306,40.7777
Bhilai,81.4333,21.2167
Yuyao,121.1546,30.0372
N’Djamena,15.05,12.11
Hanchuan,113.8274,30.652
Gongzhuling,124.8088,43.5036
Copenhagen,12.5635,55.6786
Irbid,35.85,32.5556
Hāora,88.31,22.59
Cologne,6.9578,50.9422
Krasnoyarsk,92.8667,56.0167
Yicheng,119.8239,31.3697
Mizhou,119.4167,36.0
Nashville,-86.7843,36.1715
Yerevan,44.5144,40.1814
Rānchi,85.3347,23.3556
Nur-Sultan,71.4333,51.1333
Nouakchott,-15.9744,18.0783
Vereeniging,27.9319,-26.6736
Richmond,-77.4756,37.5295
São Luís,-44.3028,-2.53
San Pedro Sula,-88.0333,15.5
Taixing,120.0142,32.1724
Memphis,-89.9773,35.1046
Goyang,126.835,37.6564
Bezwāda,80.6167,16.5167
Edmonton,-113.4903,53.5344
Xishan,113.4946,27.6609
Barquisimeto,-69.3467,10.0678
Sendai,140.8694,38.2683
Voronezh,39.2106,51.6717
Perm,56.2489,58.0139
Changwon,128.6811,35.2281
Zhongwei,105.1884,37.5139
Shouguang,118.7333,36.8833
Bogor,106.8,-6.6
Raleigh,-78.6435,35.8325
Cartagena,-75.5253,10.4236
Chandīgarh,76.7911,30.7353
Bishkek,74.5667,42.8667
Amsterdam,4.9166,52.35
Matola,32.4667,-25.9667
Ogbomoso,4.25,8.1333
Ashgabat,58.3833,37.95
E’zhou,114.8842,30.3972
Maceió,-35.735,-9.6658
Niamey,2.1111,13.5086
Managua,-86.2667,12.15
Patam,104.0167,1.0678
Tekirdağ,27.5167,40.9833
Linhai,121.1409,28.8523
Shubrā al Khaymah,31.2422,30.1286
Monrovia,-10.8047,6.3106
Wafangdian,121.9972,39.6271
Zhongxiang,112.5853,31.169
Shymkent,69.6,42.3
New Orleans,-89.9288,30.0687
Volgograd,44.4833,48.7
Port-au-Prince,-72.3386,18.5425
Mysore,76.6531,12.3086
Odesa,30.7326,46.4775
Kathmandu,85.3667,27.7167
Raipur,81.6337,21.2379
Nice,7.2663,43.7034
Arequipa,-71.5369,-16.3988
Port Harcourt,7.0,4.75
Rotterdam,4.48,51.92
Louisville,-85.6485,38.1663
Zaoyang,112.7581,32.1287
Shuizhai,114.8994,33.4433
Kota,75.83,25.18
Abu Dhabi,54.3686,24.4781
Stockholm,18.0686,59.3294
Ottawa,-75.695,45.4247
Asmara,38.9167,15.3333
Freetown,-13.2331,8.4833
